player_id,player_code,name,date_of_birth,age,height,citizenship,position,foot,current_market_value,intl_caps,intl_goals,source_league,season_id,competition_code
100986,thomas-meunier,Thomas Meunier,12/09/1991,34.0,"1,91 m",Belgium,Defender - Right-Back,right,1800000.0,78.0,10.0,2024-ligue-1,2024,ligue-1
538964,thijs-dallinga,Thijs Dallinga,03/08/2000,25.0,"1,90 m",Netherlands,Attack - Centre-Forward,right,12000000.0,1.0,0.0,2024-ligue-1,2024,ligue-1
917817,tom-pouilly,Tom Pouilly,18/06/2003,22.0,"1,80 m",France,Defender - Right-Back,right,1200000.0,,,2024-ligue-1,2024,ligue-1
707230,ugo-raghouber,Ugo Raghouber,13/07/2003,22.0,"1,88 m",France,Midfield - Defensive Midfield,left,3000000.0,,,2024-ligue-1,2024,ligue-1
958647,umit-akdag,Ümit Akdağ,06/10/2003,22.0,"1,92 m",Romania,Defender - Centre-Back,left,4000000.0,10.0,2.0,2024-ligue-1,2024,ligue-1
127182,thomas-monconduit,Thomas Monconduit,10/02/1991,35.0,"1,84 m",France,Midfield - Defensive Midfield,right,200000.0,6.0,0.0,2024-ligue-1,2024,ligue-1
866916,tom-negrel,Tom Negrel,13/04/2003,23.0,"1,92 m",France,Goalkeeper,right,50000.0,,,2024-ligue-1,2024,ligue-1
950727,victor-mayela,Victor Mayela,22/04/2004,22.0,"1,87 m",DR Congo,Defender - Centre-Back,left,1200000.0,1.0,0.0,2024-ligue-1,2024,ligue-1
1231401,victor-orakpo,Victor Orakpo,14/01/2006,20.0,"1,94 m",Nigeria,Attack - Centre-Forward,right,500000.0,,,2024-ligue-1,2024,ligue-1
849410,valentin-barco,Valentín Barco,23/07/2004,21.0,"1,70 m",Argentina,Midfield - Central Midfield,left,35000000.0,2.0,1.0,2024-ligue-1,2024,ligue-1
920939,vincent-burlet,Vincent Burlet,23/09/2005,20.0,"1,80 m",Belgium,Midfield - Left Midfield,left,800000.0,2.0,0.0,2024-ligue-1,2024,ligue-1
787618,valentin-carboni,Valentín Carboni,05/03/2005,21.0,"1,85 m",Argentina,Midfield - Attacking Midfield,left,8500000.0,3.0,0.0,2024-ligue-1,2024,ligue-1
711996,warmed-omari,Warmed Omari,23/04/2000,26.0,"1,88 m",Comoros,Defender - Centre-Back,right,3500000.0,11.0,0.0,2024-ligue-1,2024,ligue-1
910192,wilson-samake,Wilson Samaké,30/03/2004,22.0,"1,82 m",Mali,Attack - Centre-Forward,right,600000.0,0.0,0.0,2024-ligue-1,2024,ligue-1
661171,willian-pacho,Willian Pacho,16/10/2001,24.0,"1,88 m",Ecuador,Defender - Centre-Back,left,70000000.0,34.0,2.0,2024-ligue-1,2024,ligue-1
984699,yael-nandjou,Yaël Nandjou,06/07/2005,20.0,"1,85 m",France,Defender - Left-Back,left,50000.0,,,2024-ligue-1,2024,ligue-1
145988,wilfried-zaha,Wilfried Zaha,10/11/1992,33.0,"1,80 m",Cote d'Ivoire,Attack - Left Winger,right,4000000.0,33.0,5.0,2024-ligue-1,2024,ligue-1
586853,vitinha,Vitinha,15/03/2000,26.0,"1,78 m",Portugal,Attack - Centre-Forward,right,8000000.0,10.0,4.0,2024-ligue-1,2024,ligue-1
