type,club,direction,player,player_href,age,nationality,position,market_value,origin_club,fee,source,source_league,fee_type,fee_raw,position_group,buyer,seller,premium_ratio,season_id,competition_code,net_transfer_record,squad_size,average_age,national_team_players,competition_name,country_name,league_total_market_value
transfer,Bayern Munich,In,Gabriel Vidovic,/gabriel-vidovic/profil/spieler/604327,19.0,Croatia,Left Winger,2500000.0,Vitesse,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,end_of_loan,End of loan 30/06/2023,Attacker,Bayern Munich,Vitesse,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Malik Tillman,/malik-tillman/profil/spieler/467437,21.0,United States,Attacking Midfield,5000000.0,Rangers,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,end_of_loan,End of loan 30/06/2023,Midfielder,Bayern Munich,Rangers,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,In,Alexander Nübel,/alexander-nubel/profil/spieler/195778,26.0,Germany,Goalkeeper,8000000.0,Monaco,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,end_of_loan,End of loan 30/06/2023,Goalkeeper,Bayern Munich,Monaco,,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Lucas Hernández,/lucas-hernandez/profil/spieler/281963,27.0,France,Left-Back,45000000.0,PSG,45000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€45.00m,Defender,PSG,Bayern Munich,0.0,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Ryan Gravenberch,/ryan-gravenberch/profil/spieler/478573,21.0,Netherlands,Defensive Midfield,30000000.0,Liverpool,40000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€40.00m,Midfielder,Liverpool,Bayern Munich,0.33333333333333326,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Benjamin Pavard,/benjamin-pavard/profil/spieler/353366,27.0,France,Centre-Back,40000000.0,Inter,32400000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€32.40m,Defender,Inter,Bayern Munich,-0.18999999999999995,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Sadio Mané,/sadio-mane/profil/spieler/200512,31.0,Senegal,Left Winger,25000000.0,Al-Nassr,30000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€30.00m,Attacker,Al-Nassr,Bayern Munich,0.19999999999999996,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Marcel Sabitzer,/marcel-sabitzer/profil/spieler/106987,29.0,Austria,Central Midfield,20000000.0,Dortmund,19000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€19.00m,Midfielder,Dortmund,Bayern Munich,-0.050000000000000044,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Yann Sommer,/yann-sommer/profil/spieler/42205,34.0,Switzerland,Goalkeeper,5000000.0,Inter,6900000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€6.90m,Goalkeeper,Inter,Bayern Munich,0.3799999999999999,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
transfer,Bayern Munich,Out,Malik Tillman,/malik-tillman/profil/spieler/467437,21.0,United States,Attacking Midfield,5000000.0,PSV,1000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €1.00m,Midfielder,PSV,Bayern Munich,-0.8,2023,bundesliga,12900000.0,25,27.0,16,Bundesliga,Germany,5020000000.0
